Recommended;Profitable;Investment;Savings;SeebClassificationDescription;ProposalID;ProposalHeadline;SeebClassification
False;True;800;30;Lette ydervægge;9;Udvendig efterisolering af kvistflunke;1-2-3-0
False;False;2300;40;Fladt tag;10;Efterisolering af kvist tag;1-1-2-0
False;False;3000;60;Loft;4;Udskiftning af eksisterende loftslem til ny præfabrikeret loftslem;1-1-1-0
False;False;8000;200;Vinduer;6;Udskiftning af eksisterende kvistvinduer;1-3-1-0
False;True;9000;300;Loft;3;Efterisolering af hanebåndsloft;1-1-1-0
False;False;9000;200;Yderdøre;7;Udskiftning af eksisterende kælderyderdør;1-3-3-0
False;True;22600;700;Krybekælder;2;Efterisolering af gulv mod krybekælder ;1-4-3-0
False;False;29900;400;Loft;5;Udvendig efterisolering af skråvægge;1-1-1-0
False;True;46500;1800;Kælder ydervægge;1;Udvendig efterisolering af kælderydervægge;1-2-4-0
False;True;67500;3500;Solceller;8;Montage af nye solceller;4-1-3-0
False;False;97700;1500;Massive ydervægge;0;Indvendig efterisolering af massive ydervægge;1-2-2-0
