Investment;SeebClassificationDescription;Recommended;SeebClassification;Savings;Profitable;ProposalID;ProposalHeadline
500;Varmtvandsrør;False;3-1-3-0;400;True;7;Isolering af tilslutningsrør til varmtvandsbeholder op til 50 mm
2600;Loft;False;1-1-1-0;60;False;5;Efterisolering af vandret skunk med 150 mm isolering
15400;Loft;False;1-1-1-0;500;True;6;Efterisolering af hanebåndsloft med 200 mm isolering
15800;Loft;False;1-1-1-0;300;False;4;Indvendig efterisolering af skråvægge med 150 mm isolering
28800;Solceller;False;4-1-3-0;1900;True;8;Montage af nye solceller
61600;Terrændæk med gulvvarme;False;1-4-1-1;200;False;9;Ophugning af eksisterende terrændæk og støbning af nyt med 350 mm mineraluld eller polystyrenplader
76400;Krybekælder;False;1-4-3-0;1300;False;3;Nedrivning af eksisterende krybekælder og etablering af nyt terrændæk med 350 mm isolering
89200;Terrændæk;False;1-4-1-0;400;False;2;Ophugning af eksisterende terrændæk og støbning af nyt med 350 mm mineraluld eller polystyrenplader
131400;Massive ydervægge;False;1-2-2-0;3100;False;0;Indvendig efterisolering af massive uisolerede ydervægge med 200 mm
138700;Massive ydervægge;False;1-2-2-0;1100;False;1;Indvendig efterisolering af massive isoleredeydervægge med 200 mm
