Nummer;CalculatedEmissionLowering;CalculatedEmission;FixedCharge;CalculatedConsumption;AdditionalHeatCost;CalculatedEnergySavings;ElectricityPrice;HeatSupplyCost;CalculatedEnergyConsumption;HeatSupply;ExtraCostPrYear;TotalProfitableInvestment;AdditionalHeat;PossibleEnergyLabelForAllProfitableProposals;TotalRecommendedInvestment;ExtraCostPrYearForRecommendedProposals;ExtraCostPrYearForAllProposals;PossibleEnergyLabelForAllProposals;ExtraCostPrYear;TotalProfitableInvestment
311441266;3802100;6424000;0;19100;0;18600;2,33;605,454545454546;31500;NaturalGas;9800;Kan ikke beregnes;Ingen;C;0;0;9800;B;7300;87500
311441267;0;354900;4090;6700;0;0;2,3;475;5500;DistrictHeat;0;Kan ikke beregnes;Ingen;A2015;0;0;0;A2015;0;0
311441268;302300;833300;4465,5625;12800;0;3100;2,2;650;12900;DistrictHeat;3200;Kan ikke beregnes;Ingen;C;0;0;3200;A2010;0;0
311441269;156000;1005600;2520,44;12600;0;2400;2,2;650,8;15500;DistrictHeat;1600;Kan ikke beregnes;Ingen;C;0;0;1600;C;0;0
311441270;0;260700;2670,625;4600;0;0;2,02;468;4100;DistrictHeat;0;Kan ikke beregnes;Ingen;A2015;0;0;0;A2015;0;0
311441271;2125600;5151000;0;13200;0;10400;1,8;519,090909090909;25300;NaturalGas;5500;Kan ikke beregnes;Ingen;D;0;0;5500;C;1000;4100
311441272;1098000;2625500;0;6700;0;5400;2,2;519,090909090909;12900;NaturalGas;2800;Kan ikke beregnes;Ingen;D;0;0;2800;C;0;0
311441273;0;239200;2670,625;4400;0;0;2,02;468;3700;DistrictHeat;0;Kan ikke beregnes;Ingen;A2015;0;0;0;A2015;0;0
311441287;435500;1266900;4143,75;15300;0;6700;2,02;568,75;19500;DistrictHeat;3800;Kan ikke beregnes;Ingen;C;0;0;3800;B;800;7200
311441288;0;378900;0;2900;0;0;1,497;1497;2000;Electricity;0;Kan ikke beregnes;Ingen;A2020;0;0;0;A2020;0;0
311441289;717000;1419400;0;9000;0;3700;1,247;1247;7300;Electricity;5200;Kan ikke beregnes;Ingen;C;0;0;5200;B;3800;112000
311441290;11936000;40008200;129577,5;452200;0;183700;2,2;524,075;615600;DistrictHeat;96300;Kan ikke beregnes;Ingen;B;0;0;96300;A2010;61200;1204500
311441291;728400;1214200;2503;14700;0;8200;0;650,8;18700;DistrictHeat;7900;Kan ikke beregnes;Ingen;C;0;0;7900;B;5100;144100
311441292;0;-18298800;4603,28;6800;0;0;2;387,5;5500;DistrictHeat;0;Kan ikke beregnes;Ingen;A2020;0;0;0;A2020;0;0
311441293;1257300;2095900;0;21300;0;6400;2;2000;10700;Electricity;12700;Kan ikke beregnes;Ingen;B;0;0;12700;B;11500;20000
311441294;0;0;0;0;0;0;0;0;0;;0;Kan ikke beregnes;Ingen;;0;0;0;;0;0
311441295;0;267200;2670,625;4600;0;0;2,02;468;4200;DistrictHeat;0;Kan ikke beregnes;Ingen;A2015;0;0;0;A2015;0;0
311441296;219700;1097900;4437;13900;0;3400;0;555;16900;DistrictHeat;1900;Kan ikke beregnes;Ingen;C;0;0;1900;C;0;0
311441300;0;307500;4161,9875;6800;0;0;2,13;555;4800;DistrictHeat;0;Kan ikke beregnes;Ingen;A2015;0;0;0;A2015;0;0
311441301;0;267200;2670,625;4600;0;0;2,02;468;4200;DistrictHeat;0;Kan ikke beregnes;Ingen;A2015;0;0;0;A2015;0;0
311441303;3113400;4969500;0;12700;0;15300;2,2;519,090909090909;24400;NaturalGas;10100;Kan ikke beregnes;Ingen;D;74600;0;10100;A2010;3400;72900
311441305;0;-396970;0;1500;0;0;1,447;1447;1000;Electricity;0;Kan ikke beregnes;Ingen;A2020;0;0;0;A2020;0;0
311441306;545100;1319500;1990;9300;0;8200;0;360;20300;DistrictHeat;3000;Kan ikke beregnes;Ingen;C;29400;0;3000;B;2400;29400
311441307;11676800;12275100;0;49600;2100;43800;2,1;992,673267326733;46900;FuelGasOil;46700;Kan ikke beregnes;Electricity;A2015;0;0;46700;A2015;46400;582900
311441308;1751000;1924900;0;15200;0;8800;1,55;1550;9800;Electricity;13600;Kan ikke beregnes;Ingen;A2010;0;0;13600;A2020;10900;239200
311441309;0;335500;0;2500;0;0;1,447;1447;1800;Electricity;0;Kan ikke beregnes;Ingen;A2015;0;0;0;A2015;0;0
