Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
600;False;Varmtvandsrør;1;True;90;Isolering af tilslutningsrør til varmtvandsbeholder op til 60 mm;3-1-3-0
8800;False;Vinduer;4;False;300;Udskiftning af vindue til trelags energirude;1-3-1-0
9200;False;Vinduer;3;True;400;Udskiftning af vindue til trelags energirude;1-3-1-0
9400;False;Yderdøre;2;False;400;Udskiftning til ny yderdør med trelags energirude;1-3-3-0
21000;False;Vinduer;6;False;600;Udskiftning af vindue til trelags energirude;1-3-1-0
31900;False;Vinduer;5;False;800;Udskiftning af vindue til trelags energirude;1-3-1-0
38700;False;Lette ydervægge;8;False;400;Efterisolering af lette ydervægge af træ med 200 mm isolering.;1-2-3-0
63000;False;Loft;7;True;2000;Efterisolering af loftsrum med 300 mm isolering.;1-1-1-0
74700;False;Hule ydervægge;9;False;1100;Indvendig montage af forsatsvæg med 150 mm isolering.;1-2-1-0
99200;False;Solceller;0;True;5500;Montage af nye solceller, Monokrystaliske silicium, 5 kW;4-1-3-0
