Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
300;False;Varmtvandsrør;8;True;400;Isolering af tilslutningsrør til varmtvandsbeholder op til 50 mm;3-1-3-0
800;False;Varmtvandsrør;7;True;1200;Isolering af tilslutningsrør til varmtvandsbeholder op til 50 mm;3-1-3-0
5300;False;Loft;11;False;200;Efterisolering af vandret skunk med 200 mm isolering.;1-1-1-0
6800;False;Loft;5;False;200;Efterisolering af lodret skunk med 200 mm isolering.;1-1-1-0
13900;False;Loft;4;False;300;Efterisolering af hanebåndsloft med 200 mm isolering.;1-1-1-0
15000;False;Varmepumper;10;True;1700;Installation af nyt luftvarmeanlæg, (luft/luft), 2,3 kW som type IVT Nordic 12 FR-N;2-1-5-0
26800;False;Terrændæk;0;False;200;Ophugning af eksisterende terrændæk og støbning af nyt med 300 mm. mineraluld eller polystyrenplader;1-4-1-0
32200;False;Krybekælder;1;True;1600;Efterisolering af gulv mod krybekælder med 200 mm isolering.;1-4-3-0
45000;False;Kedler;9;True;10200;Udskiftning til 20 kW kondenserende gaskedel.;2-1-2-0
56400;False;Massive ydervægge;3;False;800;Udvendig efterisolering af massive ydervægge med 200 mm.;1-2-2-0
89400;False;Massive ydervægge;2;True;3400;Udvendig efterisolering af massive ydervægge med 200 mm.;1-2-2-0
119700;False;Vinduer;6;False;3600;Udskiftning af eksist. vinduer og døre til nye med 3 lags lavenergiruder.;1-3-1-0
