Nummer;CalculatedConsumption;CalculatedEnergyConsumption;ElectricityPrice;FixedCharge;HeatSupplyCost;ExtraCostPrYear;TotalProfitableInvestment;CalculatedEmissionLowering;AdditionalHeat;CalculatedEmission;HeatSupply;AdditionalHeatCost;CalculatedEnergySavings;PossibleEnergyLabelForAllProposals;TotalRecommendedInvestment;PossibleEnergyLabelForAllProfitableProposals;ExtraCostPrYearForAllProposals;ExtraCostPrYearForRecommendedProposals;ExtraCostPrYear;TotalProfitableInvestment
100073994;Er ikke beregnet;Er ikke beregnet;2;1067;522,75;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;DistrictHeat;0;Er ikke beregnet;;;B;0;;0;0
100228617;Er ikke beregnet;Er ikke beregnet;2;0;1069,30693069307;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;FuelGasOil;0;Er ikke beregnet;;;C;13900;;11200;119000
311351054;19400;38300;2,3;0;505,154639175258;8100;Kan ikke beregnes;450600;Ingen;0;WoodPellets;0;7800;C;0;D;8100;0;5900;110400
311403096;4900;2800;2,45;3228,4;585,09;0;Kan ikke beregnes;0;Ingen;180700;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
100073994;Er ikke beregnet;Er ikke beregnet;2;1067;522,75;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;DistrictHeat;0;Er ikke beregnet;;;B;0;;0;0
100228617;Er ikke beregnet;Er ikke beregnet;2;0;1069,30693069307;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;FuelGasOil;0;Er ikke beregnet;;;C;13900;;11200;119000
311351054;19400;38300;2,3;0;505,154639175258;8100;Kan ikke beregnes;450600;Ingen;0;WoodPellets;0;7800;C;0;D;8100;0;5900;110400
311403096;4900;2800;2,45;3228,4;585,09;0;Kan ikke beregnes;0;Ingen;180700;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
100078612;Er ikke beregnet;Er ikke beregnet;2;0;2000;Er ikke beregnet;10700;Er ikke beregnet;;Er ikke beregnet;Electricity;0;Er ikke beregnet;;;C;30400;;30400;10700
100205553;Er ikke beregnet;Er ikke beregnet;2;1170,48;573,1;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;DistrictHeat;0;Er ikke beregnet;;;B;2900;;900;6600
