Investment;ProposalHeadline;Savings;Profitable;Recommended;ProposalID;SeebClassification;SeebClassificationDescription
9600;Efterisolering af væg på 1.sal mod uopvarmet tagrum.;2000;True;True;3;1-1-1-0;Loft
10800;Udskifte de to ovenlysvinduer med nye vinduer med lavenergiruder.;200;False;False;7;1-3-2-0;Ovenlys
12800;Efterisolering af massive uisolerede vægge mod garagen med 50 mm mineraluld;5400;True;False;4;1-2-2-0;Massive ydervægge
19900;Efterisolering over hanebånd, ved lodrette og vandrette skunke og i uopvarmet tagrum til ialt 300 mm mineraluld.;900;True;False;1;1-1-1-0;Loft
20000;Installation af ny luft-luft varmepumpe i stuen.;9000;True;False;10;2-1-5-0;Varmepumper
22200;Udskifte dør i gavl mod øst og dør mod garage med to nye isolerede døre.;700;False;False;9;1-3-3-0;Yderdøre
29100;Efterisolering af skråvægge;3600;True;True;2;1-1-1-0;Loft
64600;Udskifte alle vinduer med almindelige termoruder med nye vinduer med lavenergiruder.;2200;True;False;8;1-3-1-0;Vinduer
91000;Etablering af nyt terrændæk i gang og værelse mod vest.;1000;False;False;5;1-4-1-0;Terrændæk
231000;Etablering af nyt terrændæk mod krybekælderen.;6600;True;False;6;1-4-3-0;Krybekælder
