id_lokalId;husnummer;adressebetegnelse
4e0f7122-3240-4c08-91a4-e91d415a0dd9;0885f91f-2a09-40df-b3d9-1a25e754339a;Hedemarksvej 8, 2620 Albertslund
8b1fb7cb-3733-4eb2-a602-e2741d794e0f;0a3f507c-9dd6-32b8-e044-0003ba298018;Hedemarksvej 6, 1., 2620 Albertslund
bd558acd-2cf1-4cf4-8e5f-51224d551324;0a3f507c-9dd6-32b8-e044-0003ba298018;Hedemarksvej 6, 2620 Albertslund
c35dc211-d32d-49e7-b7d8-01f1077f94c2;0a3f507c-9dd6-32b8-e044-0003ba298018;Hedemarksvej 6, st., 2620 Albertslund
ff521a1f-256b-4951-a582-38e14e420189;0a3f507c-9dd7-32b8-e044-0003ba298018;Hedemarksvej 10, 2620 Albertslund
a872aa4a-0417-4108-8888-c6405881fb39;0a3f507c-9dd8-32b8-e044-0003ba298018;Hedemarksvej 14, 2620 Albertslund
59681ac2-c8ed-41d1-9915-7f74e382ab43;0a3f507c-9dda-32b8-e044-0003ba298018;Hedemarksvej 16, 2620 Albertslund
e6e2d32d-649e-4d00-aad3-d3795ec2cc1b;0a3f507c-9ddb-32b8-e044-0003ba298018;Hedemarksvej 18, 2620 Albertslund
d8debde1-0972-4082-81f5-fbcc05c722d9;0a3f507c-9ddc-32b8-e044-0003ba298018;Hedemarksvej 20, 2620 Albertslund
0010f7a3-8739-4ed5-8972-b5d50417d3b4;0a3f507c-9ddd-32b8-e044-0003ba298018;Hedemarksvej 22, 2620 Albertslund
0a3f50a5-1a87-32b8-e044-0003ba298018;0a3f507c-9dde-32b8-e044-0003ba298018;Hedemarksvej 24, 3. tv, 2620 Albertslund
0a3f50a5-1a86-32b8-e044-0003ba298018;0a3f507c-9dde-32b8-e044-0003ba298018;Hedemarksvej 24, 3. th, 2620 Albertslund
0a3f50a5-1a85-32b8-e044-0003ba298018;0a3f507c-9dde-32b8-e044-0003ba298018;Hedemarksvej 24, 3. mf, 2620 Albertslund
0a3f50a5-1a84-32b8-e044-0003ba298018;0a3f507c-9dde-32b8-e044-0003ba298018;Hedemarksvej 24, 2. tv, 2620 Albertslund
0a3f50a5-1a83-32b8-e044-0003ba298018;0a3f507c-9dde-32b8-e044-0003ba298018;Hedemarksvej 24, 2. th, 2620 Albertslund
0a3f50a5-1a82-32b8-e044-0003ba298018;0a3f507c-9dde-32b8-e044-0003ba298018;Hedemarksvej 24, 2. mf, 2620 Albertslund
0a3f50a5-1a81-32b8-e044-0003ba298018;0a3f507c-9dde-32b8-e044-0003ba298018;Hedemarksvej 24, 1. tv, 2620 Albertslund
0a3f50a5-1a80-32b8-e044-0003ba298018;0a3f507c-9dde-32b8-e044-0003ba298018;Hedemarksvej 24, 1. th, 2620 Albertslund
0a3f50a5-1a7f-32b8-e044-0003ba298018;0a3f507c-9dde-32b8-e044-0003ba298018;Hedemarksvej 24, 1. mf, 2620 Albertslund
0a3f50a5-1a7e-32b8-e044-0003ba298018;0a3f507c-9dde-32b8-e044-0003ba298018;Hedemarksvej 24, st. tv, 2620 Albertslund
0a3f50a5-1a7d-32b8-e044-0003ba298018;0a3f507c-9dde-32b8-e044-0003ba298018;Hedemarksvej 24, st. th, 2620 Albertslund
0a3f50a5-1a92-32b8-e044-0003ba298018;0a3f507c-9ddf-32b8-e044-0003ba298018;Hedemarksvej 26, 3. tv, 2620 Albertslund
0a3f50a5-1a91-32b8-e044-0003ba298018;0a3f507c-9ddf-32b8-e044-0003ba298018;Hedemarksvej 26, 3. th, 2620 Albertslund
0a3f50a5-1a90-32b8-e044-0003ba298018;0a3f507c-9ddf-32b8-e044-0003ba298018;Hedemarksvej 26, 3. mf, 2620 Albertslund
0a3f50a5-1a8f-32b8-e044-0003ba298018;0a3f507c-9ddf-32b8-e044-0003ba298018;Hedemarksvej 26, 2. tv, 2620 Albertslund
0a3f50a5-1a8e-32b8-e044-0003ba298018;0a3f507c-9ddf-32b8-e044-0003ba298018;Hedemarksvej 26, 2. th, 2620 Albertslund
0a3f50a5-1a8d-32b8-e044-0003ba298018;0a3f507c-9ddf-32b8-e044-0003ba298018;Hedemarksvej 26, 2. mf, 2620 Albertslund
