id_lokalId;husnummer;jordstykke;byg021BygningensAnvendelse;byg038SamletBygningsareal;byg039BygningensSamledeBoligAreal;byg040BygningensSamledeErhvervsAreal;eta022Kælderareal;byg026Opførelsesår;byg027OmTilbygningsår;byg056Varmeinstallation;byg057Opvarmningsmiddel;byg058SupplerendeVarme;byg404Koordinat;byg406Koordinatsystem;status
00018511-9411-4d95-850f-930c998902e3;0a3f508f-4d35-32b8-e044-0003ba298018;1956143;210;559;;559;0;1911;1980;9;;;POINT(513422.13 6197819.13);5;6
0001f025-33a2-4caa-9e4b-ded9f1c6a060;0a3f508e-ea4d-32b8-e044-0003ba298018;1245927;217;24;;24;0;1937;1987;9;;;POINT(520635.38 6174181.18);5;6
0001f06b-d0d7-489d-9087-ca746632b6a9;0a3f5090-cfb3-32b8-e044-0003ba298018;1501765;120;130;210;;0;1906;;2;3;;POINT(532512.13 6171416.76);5;6
0002d8b3-f02b-4e71-afbb-0d0b6f28aa01;0a3f5090-b352-32b8-e044-0003ba298018;1508320;120;62;96;;0;1928;;1;;90;POINT(532171.56 6174329.17);5;6
00061a61-fe8b-480f-bfbc-afd9fa073d61;0a3f508e-df6f-32b8-e044-0003ba298018;1245213;120;188;181;;0;1977;1995;1;;;POINT(524578.03 6173206.18);5;6
0006e460-3780-47e6-996c-234b27a4d381;0a3f508e-ee64-32b8-e044-0003ba298018;1250265;120;147;211;;0;1906;1998;2;4;;POINT(521315.55 6167973.19);5;6
0007a82a-53ed-4385-8ac0-0f16586e4b92;0a3f508e-eeac-32b8-e044-0003ba298018;1250135;212;349;;349;0;1953;;9;;;POINT(513537.52 6166189.9);5;6
00083a2b-88de-4f6f-b356-8ef0366b84c4;0a3f5090-b6d8-32b8-e044-0003ba298018;2635609;120;135;239;;0;2009;;5;1;80;POINT(540575.89 6177885.61);5;6
000846c0-433a-47f8-ade7-cbcf511686f0;0a3f508e-d835-32b8-e044-0003ba298018;1245568;212;987;;987;0;2002;;9;;;POINT(521224.13 6173038.41);5;6
000b391a-c77f-4dfd-bca0-aae5184750c4;0a3f508f-de5b-32b8-e044-0003ba298018;1402599;110;420;370;50;0;1856;;2;6;;POINT(526598.94 6182852.97);5;6
000cc0f4-afec-441c-a277-fd23851f708f;0a3f508e-cf6d-32b8-e044-0003ba298018;2244829;120;117;215;;0;;;2;4;;POINT(543119.95 6168299.54);5;9
000cd048-394f-40eb-bf0f-1079b54de325;0a3f5090-e740-32b8-e044-0003ba298018;1505566;320;770;;845;0;1878;;1;;;POINT(533450.56 6173707.17);5;6
000e8965-efd3-43f7-9c67-8f9e2b3313b1;0a3f508e-bc0d-32b8-e044-0003ba298018;2241099;510;172;172;;0;1969;2005;7;1;2;POINT(546783.15 6166479.66);5;6
000f3fb3-3347-4aab-a735-601b8374252a;0a3f508e-e8fa-32b8-e044-0003ba298018;1250537;120;145;127;;0;1992;;2;7;;POINT(527529.01 6169769.6);5;6
00106fc3-28eb-4e51-ae1c-0f9005e5d4c2;0a3f508f-6389-32b8-e044-0003ba298018;1950833;120;166;166;;0;1977;;1;;;POINT(515097.25 6188736.78);5;6
0010c68f-da2b-4b81-9084-a673dacaaf46;0a3f5090-d5d1-32b8-e044-0003ba298018;1505228;120;135;111;;0;1964;;1;;2;POINT(535057.57 6171424.09);5;6
0010ed56-03fc-4680-8a0c-0dd2cbc75820;0a3f5090-f534-32b8-e044-0003ba298018;1496488;130;102;102;;0;1980;;2;7;;POINT(538453.88 6174989.38);5;6
00155c05-1671-4f5c-873f-5206969201f4;256f6162-6463-4c7b-8706-f905c73b6517;100065761;120;149;149;;0;2017;;1;;;POINT(534196.43 6175578.72);5;6
0017dd9e-7028-46bc-89e5-4d78684c7f9d;0a3f5090-fbeb-32b8-e044-0003ba298018;1503289;120;79;121;;0;1930;;1;;;POINT(535598.67 6170413.93);5;6
001c16c1-06fe-4a6a-ab02-3764be17bb60;0a3f508f-5d42-32b8-e044-0003ba298018;1955336;210;997;;997;0;2007;;9;;90;POINT(504828.11 6183193.3);5;6
001cbd67-db06-448d-ae6e-2775a637c876;0a3f508e-e8b4-32b8-e044-0003ba298018;1247000;210;186;;186;0;1926;;9;;;POINT(516960.61 6167685.97);5;6
