id_lokalId;husnummer;jordstykke;byg021BygningensAnvendelse;byg038SamletBygningsareal;byg039BygningensSamledeBoligAreal;byg040BygningensSamledeErhvervsAreal;placehodlerForKælder;byg026Opførelsesår;byg027OmTilbygningsår;byg056Varmeinstallation;byg057Opvarmningsmiddel;byg058SupplerendeVarme;byg404Koordinat;byg406Koordinatsystem;status
0000c58e-7c19-4f9d-a7a6-9d68a7584865;0a3f5082-b157-32b8-e044-0003ba298018;1985307;510;8;8;;;;2012;;;;;;9
000280c3-6be0-486f-b681-eaed2dd49bc0;0a3f5083-cc2c-32b8-e044-0003ba298018;1041794;510;-23;-23;;;;2012;;;;;;2
00036ab4-e2d0-49f5-be41-9cff635ef20e;0a3f5084-e581-32b8-e044-0003ba298018;1657034;210;80;;80;;1989;;9;;;POINT(650015.55 6204436.09);5;6
00048f26-86ab-41c7-ab9c-7d1a74ba467d;0a3f5083-d3b6-32b8-e044-0003ba298018;1042308;510;7;7;;;;;;;;;;9
0005adf3-33cc-4d8f-b70b-b9c964495a3d;0a3f5084-f98b-32b8-e044-0003ba298018;1656656;510;62;75;;;1885;1984;7;1;;POINT(658905.76 6199723.37);5;6
0006651a-53f7-407b-b3b5-a8c3c0da0cd1;0a3f5082-ca16-32b8-e044-0003ba298018;1981822;130;184;184;;;2005;;2;7;90;POINT(656449.11 6188276.49);5;6
0006f5c2-16e6-45f8-ae72-14899c35f0cc;0a3f5084-e13b-32b8-e044-0003ba298018;1655614;510;;;;;;;;;;;;9
0007a900-37a7-4f30-a664-2c1f63da845d;0a3f5083-ddc0-32b8-e044-0003ba298018;1043896;120;156;156;;;1963;1976;2;3;;POINT(671323.14 6203064.34);5;6
00086460-efc1-4b72-be94-a58055f7dded;0a3f5083-eb67-32b8-e044-0003ba298018;1045795;585;25;14;;;2010;;7;1;90;POINT(673936.49 6204707.39);5;6
00097fc0-13c4-4b78-8f97-1c8a75798c04;0a3f5084-d9a4-32b8-e044-0003ba298018;1648771;510;103;90;;;1968;2015;3;3;;POINT(659398.79 6195151.26);5;6
000a1e1e-5da1-4168-a530-9014b7fc4086;0a3f5084-ea3b-32b8-e044-0003ba298018;1662938;120;134;218;;;1924;2005;3;4;;POINT(658715.1 6192680.44);5;6
000a4295-f484-4a63-969b-7820bc1860be;0a3f5083-ccf4-32b8-e044-0003ba298018;1042401;510;74;74;;;1959;1975;7;1;;POINT(669685.77 6203040.53);5;6
000b7897-e15a-4257-ad31-3abca7e55bc7;0a3f5084-e5b4-32b8-e044-0003ba298018;1660445;333;;-113;98;;;2019;5;1;7;;;2
000c43a3-5255-4751-8154-472b1d3d86e3;0a3f5084-cef2-32b8-e044-0003ba298018;1656640;585;42;15;;;2006;2015;7;1;;POINT(658933.44 6199755.58);5;6
000ceaa6-c77a-472e-b3eb-bfe86fb31fe6;0a3f5082-a322-32b8-e044-0003ba298018;1984694;120;167;167;;;2000;;2;3;;POINT(651826.28 6183485.96);5;6
000f66ac-57d9-410d-9abe-3bf0ced6ab2b;0a3f5084-ddc5-32b8-e044-0003ba298018;1663195;322;1344;172;1344;;1837;1988;2;3;;POINT(658141.79 6193195.68);5;6
000ff4d5-4251-4d5d-b628-8d7268028532;0a3f5082-bd8a-32b8-e044-0003ba298018;1985390;510;21;;;;;;;;;;;3
001000f3-78eb-4bd4-b253-a933290a8f60;0a3f5083-e413-32b8-e044-0003ba298018;1049195;510;68;68;;;2001;;5;1;2;POINT(665988.29 6201859.31);5;6
00118007-ee29-4cf1-b2f2-0a1d525b2dee;0a3f5084-f64d-32b8-e044-0003ba298018;1662296;210;140;72;140;;1894;1995;3;4;90;POINT(657579.33 6191032.37);5;6
0011e863-7786-4230-9a46-53ce4106a9e1;0a3f5084-d95b-32b8-e044-0003ba298018;1649088;510;20;20;;;1972;;3;3;;POINT(659605.18 6195625.63);5;6
0011efb3-9a1c-4761-b11d-4ce51d4570b1;0a3f5084-dfb6-32b8-e044-0003ba298018;1646642;510;54;39;;;1970;1982;7;1;2;POINT(660319.58 6197510.11);5;6
