ESREjdNr;Bygning_id;BYG_BOLIG_ARL_SAML;BYG_ARL_SAML;BYG_ANVEND_KODE;OPFOERELSE_AAR;ERHV_ARL_SAML;OMBYG_AAR;HeatSupply;ZipCode;LabelStatusCode;PropertyNumber;Wgs84Latitude;ValidFrom;SchemaVersion;ValidTo;EnergyLabelTypeUsage;SubmitterConsultantName;SubmitterCompanyIdentifier;LabelStatus;BuildingNumber;HasPdf;DEMOLink;MunicipalityNumber;EnergyLabelClassification;CityName;EntityIdentifier;Wgs84Longitude;HasXML;IsMixedUsage;SubmitterCompanyName;EnergyLabelSerialIdentifier;HouseNumber;IsHidden;StreetName;EnergyLabelTypeBasedOn;BBRUseCode;YearOfConstruction
183325;001e416a-ad1f-4a28-9164-ab3deb6a1d2f;0;0;120;0;0;0;DistrictHeat;2630;3;183325;55.652067967137;2008-04-07;1.0.15;2018-04-07;SingleFamily;Bjørn Rolf Matthiessen;500102;EXPIRED;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/K%C3%A6rmindevej%202,%202630%20Taastrup%20(100073994);169;B;Taastrup;100073994;12.2452965983251;True;False;OBH Ingeniørservice A/S;100073994;2;False;Kærmindevej;CalculatedConsumption;120;2006
131414;002c014d-8b38-4d51-9496-226489bfc9b8;0;114;210;1963;114;1987;FuelGasOil;2640;1;131414;55.6886338084006;2011-06-15;1.0.15;2021-06-15;SingleFamily;Robert Grünberger;600126;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Tostholmvej%205,%202640%20Hedehusene%20(100228617);169;D;Hedehusene;100228617;12.2189952856263;True;False;Botjek København;100228617;5;False;Tostholmvej;CalculatedConsumption;110;1963
129703;004a6051-bdcb-46df-813b-8149440c0539;0;215;219;1914;215;0;WoodPellets;2630;1;129703;55.6794628124043;2018-12-11;1.0.19;2028-12-11;SingleFamily;Søren Bornak;600440;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Snubbekorsvej%209,%202630%20Taastrup%20(311351054);169;D;Taastrup;311351054;12.3182003577393;True;False;Bornak Arkitekter;311351054;9;False;Snubbekorsvej;CalculatedConsumption;110;1914
186500;0075f8af-c456-47c5-9098-fdd081156944;108;108;131;2019;0;0;DistrictHeat;2630;1;186500;;2019-10-10;1.0.20;2029-10-10;SingleFamily;Knud C. Sandager;600197;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Agers%C3%B8vej%205,%202630%20Taastrup%20(311403096);169;A2015;Taastrup;311403096;;True;False;Sandager Bygge- & Energirådgivning ApS;311403096;5;False;Agersøvej;CalculatedConsumption;131;2019
101434;00a87041-33de-4a0a-bd70-046a42234abb;0;560;223;1974;560;1988;DistrictHeat;2630;1;101434;55.6449266466377;2014-09-09;1.0.17;2024-09-09;SingleFamily;Mahmoud Shekari;600241;VALID;52, 53, 56;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Cirklen%20A%201,%202630%20Taastrup%20(311072523);169;C;Taastrup;311072523;12.3169460484686;True;False;dansk drift center ApS;311072523;1;False;Cirklen A;CalculatedConsumption;130;1971
183325;001e416a-ad1f-4a28-9164-ab3deb6a1d2f;0;0;120;0;0;0;DistrictHeat;2630;3;183325;55.652067967137;2008-04-07;1.0.15;2018-04-07;SingleFamily;Bjørn Rolf Matthiessen;500102;EXPIRED;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/K%C3%A6rmindevej%202,%202630%20Taastrup%20(100073994);169;B;Taastrup;100073994;12.2452965983251;True;False;OBH Ingeniørservice A/S;100073994;2;False;Kærmindevej;CalculatedConsumption;120;2006
131414;002c014d-8b38-4d51-9496-226489bfc9b8;0;114;210;1963;114;1987;FuelGasOil;2640;1;131414;55.6886338084006;2011-06-15;1.0.15;2021-06-15;SingleFamily;Robert Grünberger;600126;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Tostholmvej%205,%202640%20Hedehusene%20(100228617);169;D;Hedehusene;100228617;12.2189952856263;True;False;Botjek København;100228617;5;False;Tostholmvej;CalculatedConsumption;110;1963
129703;004a6051-bdcb-46df-813b-8149440c0539;0;215;219;1914;215;0;WoodPellets;2630;1;129703;55.6794628124043;2018-12-11;1.0.19;2028-12-11;SingleFamily;Søren Bornak;600440;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Snubbekorsvej%209,%202630%20Taastrup%20(311351054);169;D;Taastrup;311351054;12.3182003577393;True;False;Bornak Arkitekter;311351054;9;False;Snubbekorsvej;CalculatedConsumption;110;1914
186500;0075f8af-c456-47c5-9098-fdd081156944;108;108;131;2019;0;0;DistrictHeat;2630;1;186500;;2019-10-10;1.0.20;2029-10-10;SingleFamily;Knud C. Sandager;600197;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Agers%C3%B8vej%205,%202630%20Taastrup%20(311403096);169;A2015;Taastrup;311403096;;True;False;Sandager Bygge- & Energirådgivning ApS;311403096;5;False;Agersøvej;CalculatedConsumption;131;2019
101434;00a87041-33de-4a0a-bd70-046a42234abb;0;560;223;1974;560;1988;DistrictHeat;2630;1;101434;55.6449266466377;2014-09-09;1.0.17;2024-09-09;SingleFamily;Mahmoud Shekari;600241;VALID;52, 53, 56;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Cirklen%20A%201,%202630%20Taastrup%20(311072523);169;C;Taastrup;311072523;12.3169460484686;True;False;dansk drift center ApS;311072523;1;False;Cirklen A;CalculatedConsumption;130;1971
108714;010f9360-3b6d-46a3-aebf-89e6239dfb1f;167;98;120;1982;0;0;Electricity;2640;3;108714;55.6524365299009;2008-05-06;1.0.15;2018-05-06;SingleFamily;Ole Kistrup;500102;EXPIRED;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Jernalderen%2013,%202640%20Hedehusene%20(100078612);169;F;Hedehusene;100078612;12.1808021704276;True;False;OBH Ingeniørservice A/S;100078612;13;False;Jernalderen;CalculatedConsumption;120;1982
164835;011db7fe-f11a-4d7b-b887-f29c91083d91;504;504;130;1992;0;0;DistrictHeat;2630;1;164835;55.640263863793;2019-06-07;1.0.19;2029-06-07;SingleFamily;Bjarne Gram;600399;VALID;1, 3, 7;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Morelhaven%201,%202630%20Taastrup%20(311381318);169;B;Taastrup;311381318;12.2676072513979;True;False;Godt Byggeri ApS;311381318;1;False;Morelhaven;CalculatedConsumption;130;1992
185378;012b30d7-a3e0-461e-942c-da6718ec2d2c;83;88;130;1987;0;0;DistrictHeat;2630;1;185378;55.6403738650703;2011-02-09;1.0.15;2021-02-09;SingleFamily;Aage Hjortshøj;600037;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Olivenlunden%2033,%202630%20Taastrup%20(100205553);169;C;Taastrup;100205553;12.2776309733246;True;False;Boligeftersyn ApS;100205553;33;False;Olivenlunden;CalculatedConsumption;130;1987
168121;012cfc92-defc-4610-a868-89fc0f5b7493;0;292;310;1979;292;0;FuelGasOil;2630;1;168121;55.6507671291986;2012-11-29;1.0.16;2022-11-29;NonResidental;Jakob Madsen;600198;VALID;8;True;https://emoweb.dk/emodigital/emodigital.svc/PdfDocument/310015469;169;E;Taastrup;310015469;12.2809963392721;True;False;JDM Rådgivende Ingeniør ApS;310015469;29;False;Depotvej;CalculatedConsumption;310;1979
178879;014f8814-5446-48eb-844a-3d924b667600;325;325;130;1979;0;0;NaturalGas;2640;1;178879;55.6601684747167;2013-01-31;1.0.16;2023-01-31;MultiFamily;Ejvind Endrup;600105;VALID;1;True;https://emoweb.dk/emodigital/emodigital.svc/PdfDocument/310022904;169;E;Hedehusene;310022904;12.1776764943514;True;False;Murbyg ApS;310022904;4A;False;Vesterled;CalculatedConsumption;140;1979
182361;01602c1b-14a5-44cf-ad60-d5f9dc8474ae;108;108;130;2006;0;0;;2630;1;182361;55.681098970244;2016-11-24;1.0.18;2026-11-24;SingleFamily;Niels Høeg;600284;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Langageren%2016,%202630%20Taastrup%20(311214190);169;C;Taastrup;311214190;12.2615622682269;True;False;bygge-konsulent.dk ApS;311214190;16;False;Langageren;BBRInformation;130;2006
131716;017c7df3-03e5-4fc2-a968-89758b508403;330;229;110;1927;0;2011;FuelGasOil;2640;1;131716;55.677734595582;2016-01-25;1.0.18;2026-01-25;SingleFamily;Per Niebling;600366;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Vadsbystr%C3%A6de%206,%202640%20Hedehusene%20(311155301);169;B;Hedehusene;311155301;12.2050204925379;True;False;Per Niebling Arkitektfirma;311155301;6;False;Vadsbystræde ;CalculatedConsumption;110;1927
160090;01d722b3-ace4-4058-8843-57b70de3aaca;82;82;130;1985;0;0;DistrictHeat;2630;3;160090;55.6491937872745;2007-09-18;1.0.15;2017-09-18;SingleFamily;Jan Holm Møller;500797;EXPIRED;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Dorphs%20Alle%202B,%202630%20Taastrup%20(100047410);169;C1;Taastrup;100047410;12.301756999354;True;False;Byggekonsulent ApS;100047410;2B;False;Dorphs Alle;CalculatedConsumption;130;1985
108420;022107c1-1cc5-42f3-8942-caf82f53352c;204;206;130;1974;0;0;DistrictHeat;2640;1;108420;55.6606898760669;2017-02-03;1.0.18;2027-02-03;SingleFamily;Ahmad Ratha;600199;VALID;17, 18, 19, 20, 21, 22, 23, 24, 25, 26;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Kuglens%20Kvarter%202,%202640%20Hedehusene%20(311226388);169;C;Hedehusene;311226388;12.1766373158747;True;False;FORCE Technology;311226388;2;False;Kuglens Kvarter;CalculatedConsumption;130;1974
162832;02222db0-eee9-4273-ba8a-c524554179c0;0;2613;321;1987;2737;0;DistrictHeat;2630;1;162832;55.6498890816066;2017-08-31;1.0.18;2027-08-31;NonResidental;Lars Falck Winding;600001;VALID;1;True;https://emoweb.dk/emodigital/emodigital.svc/PdfDocument/311269848;169;C;Taastrup;311269848;12.2697769468136;True;False;OBH Ingeniørservice A/S;311269848;19;False;Høje Taastrup Boulevard;CalculatedConsumption;320;1987
176795;025f8767-9223-4ab2-ae12-2524f65119fa;136;136;120;1998;0;0;DistrictHeat;2630;1;176795;;2020-02-20;1.0.20;2030-02-20;SingleFamily;Tommy Horst Grenander;600078;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Kornelhegnet%208,%202630%20Taastrup%20(311423703);169;B;Taastrup;311423703;;True;False;Botjek A/S;311423703;8;False;Kornelhegnet;CalculatedConsumption;120;1998
148066;02955d8d-8536-478e-8db6-a48aaba05667;129;165;120;1978;0;0;Electricity;2640;1;148066;55.6507975898504;2016-03-04;1.0.18;2026-03-04;SingleFamily;Anders Gjerum-Knudsen;600477;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Stenalderen%20112,%202640%20Hedehusene%20(311162393);169;F;Hedehusene;311162393;12.1881739102397;True;False;Energitjenesten Sjælland;311162393;112;False;Stenalderen;CalculatedConsumption;120;1978
126615;029a5508-0938-4242-86ae-c3c8889d6bfd;0;800;219;1968;800;0;FuelGasOil;2630;1;126615;55.6669136262062;2011-09-05;1.0.15;2021-09-05;SingleFamily;Carl Hansson;600164;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Kleveh%C3%B8jvej%201,%202630%20Taastrup%20(100240049);169;F;Taastrup;100240049;12.2492940970428;True;False;Energi- og Bygningsrådgivning A/S;100240049;1;False;Klevehøjvej;CalculatedConsumption;110;1968
162891;02ba5600-fb69-4412-9719-166def3712e3;139;139;120;1986;0;0;Electricity;2630;1;162891;55.6870571015168;2011-04-28;1.0.15;2021-04-28;SingleFamily;Peter Paul Johansen;600002;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Birkevej%206F,%202630%20Taastrup%20(100219698);169;E;Taastrup;100219698;12.2484513674544;True;False;OBH Ingeniørservice A/S;100219698;6F;False;Birkevej;CalculatedConsumption;120;1986
153205;02c43f65-b28f-468b-b467-b6cca71c5f55;176;176;120;1980;0;0;DistrictHeat;2630;1;153205;55.6484744002206;2014-01-24;1.0.16;2024-01-24;SingleFamily;Søren Hermansen;600001;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Elme%20Alle%2030B,%202630%20Taastrup%20(311035277);169;D;Taastrup;311035277;12.3040972442104;True;False;OBH Ingeniørservice A/S;311035277;30B;False;Elme Alle;CalculatedConsumption;120;1980
179565;02e917f2-1a44-4330-a8c0-c07256a0d21f;148;223;120;2004;0;0;DistrictHeat;2630;1;179565;55.6491436750748;2013-05-28;1.0.16;2023-05-28;SingleFamily;Patrick Singh, factum2 ballerup, mobil 2819 4693;;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/L%C3%B8vefodvej%201,%202630%20Taastrup%20(311000441);169;C;Taastrup;311000441;12.2447047143738;True;False;factum2 ballerup;311000441;1;False;Løvefodvej;CalculatedConsumption;120;2004
180679;0308d2b9-2926-4770-b600-ca35eee091aa;0;6327;323;2004;6327;0;DistrictHeat;2630;1;180679;55.6383824225131;2011-05-13;1.0.15;2021-05-13;NonResidental;Michael Skovgaard;600135;VALID;1, 2, 3, 4;True;https://emoweb.dk/emodigital/emodigital.svc/PdfDocument/200049117;169;C;Taastrup;200049117;12.2460396207479;True;False;Botjek Hillerød - v/PNT Arkitekter ApS;200049117;6;False;Litauen Alle;CalculatedConsumption;310, 320, 330;2004
186686;0328c4fa-31ac-410d-a13c-c331c23f2901;130;130;131;2019;0;0;DistrictHeat;2640;1;186686;;2019-09-06;1.0.20;2029-09-06;SingleFamily;Allan E. Bojesen;600211;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Urtehaven%2033,%202640%20Hedehusene%20(311397022);169;A2020;Hedehusene;311397022;;True;False;John Klysner Consult ApS;311397022;33;False;Urtehaven;CalculatedConsumption;120;2019
100446;036e2843-1a1a-4b8f-ae3e-945b615c2146;80;46;130;1951;0;0;DistrictHeat;2630;1;100446;55.647295731968;2014-07-04;1.0.17;2024-07-04;SingleFamily;Christian Strarup;600045;VALID;34, 35;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Stillidsvej%201,%202630%20Taastrup%20(311063423);169;D;Taastrup;311063423;12.3071300281417;True;False;Topdahl ApS;311063423;1;False;Stillidsvej;CalculatedConsumption;130;1949
164835;03984b4e-6bd4-4def-bade-ac08970d819a;461;461;130;1992;0;0;DistrictHeat;2630;1;164835;55.640263863793;2019-06-07;1.0.19;2029-06-07;SingleFamily;Bjarne Gram;600399;VALID;1, 3, 7;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Morelhaven%201,%202630%20Taastrup%20(311381318);169;B;Taastrup;311381318;12.2676072513979;True;False;Godt Byggeri ApS;311381318;1;False;Morelhaven;CalculatedConsumption;130;1992
185225;03a2371a-7f80-422b-a6bd-e5dbe8083841;254;311;130;2007;0;0;;2630;1;185225;55.6495713565704;2019-05-12;1.0.19;2029-05-12;SingleFamily;Keen Nielsen;600163;VALID;4;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Fr%C3%B8dalen%2024,%202630%20Taastrup%20(311376415);169;B;Taastrup;311376415;12.2540096508673;True;False;KEEN MILJØ & ENERGIRÅDGIVNING ApS;311376415;24;False;Frødalen;BBRInformation;130;2007
125503;03a5bc81-5c15-4ba1-8e3d-19ea9dab2529;0;410;215;1966;410;0;FuelGasOil;2640;1;125503;55.6700483227938;2011-11-07;1.0.15;2021-11-07;SingleFamily;Ark. Maa. Jørgen Kjær Hansen;600128;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/H%C3%B8jvangsvej%202,%202640%20Hedehusene%20(100248017);169;D;Hedehusene;100248017;12.2173564401689;True;False;Botjek Taastrup, Arkitekt M.A.A. Jørgen Kjær Hansen;100248017;2;False;Højvangsvej;CalculatedConsumption;110;1920
157081;03fbbe53-f14c-4cc8-84ac-acb941645c7c;0;120;441;2019;120;0;DistrictHeat;2630;1;157081;55.6395686727178;2015-11-09;1.0.17;2025-11-09;NonResidental;Claus Matthiasen;600109;VALID;1;True;https://emoweb.dk/emodigital/emodigital.svc/PdfDocument/311144235;169;E;Taastrup;311144235;12.2895650447448;True;False;Danakon a/s;311144235;10;False;Husmandsvej;CalculatedConsumption;440;1982
109699;042debd0-0fd3-43da-8a1f-ad06215b4ddd;141;141;120;1974;0;0;Electricity;2640;3;109699;55.6462144573588;2009-10-28;1.0.15;2019-10-28;SingleFamily;Ole Theilmann Aabel;600001;EXPIRED;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/M%C3%B8lleager%2092,%202640%20Hedehusene%20(100139478);169;G;Hedehusene;100139478;12.2262428581392;True;False;OBH Ingeniørservice A/S;100139478;92;False;Mølleager;CalculatedConsumption;120;1974
152411;04440455-ea7c-49c6-89d8-8af8ab80be6a;0;443;440;1978;443;1994;DistrictHeat;2630;1;152411;55.6530855383248;2015-06-22;1.0.17;2025-06-22;NonResidental;Jacob Wibroe;600109;VALID;1, 2;True;https://emoweb.dk/emodigital/emodigital.svc/PdfDocument/311120462;169;C;Taastrup;311120462;12.2793617606059;True;False;Danakon a/s;311120462;3;False;Gadehavegårdsvej;CalculatedConsumption;440;1980, 1981
